method,run_label,threshold,n_total,n_kept,coverage,corrected_accuracy_kept,corrected_error_kept,baseline_accuracy_kept,delta_accuracy_pp_kept,intervened_rate_kept
E12b,seed42,0.30000000000000004,2000,1615,0.8075,0.6693498452012384,0.3306501547987616,0.6359133126934985,3.3436532507739924,0.5027863777089784
E12b,seed42,0.325,2000,1665,0.8325,0.6696696696696697,0.3303303303303303,0.6354354354354355,3.4234234234234218,0.5177177177177177
E12b,seed42,0.35000000000000003,2000,1829,0.9145,0.6648441771459814,0.33515582285401857,0.6293056314926189,3.5538545653362563,0.5609622744669218
E12b,seed42,0.375,2000,1838,0.919,0.6659412404787813,0.33405875952121866,0.6300326441784548,3.59085963003265,0.5631120783460283
E12b,seed42,0.4,2000,1886,0.943,0.6643690349946978,0.3356309650053022,0.6299045599151644,3.446447507953343,0.5742311770943797
E12b,seed42,0.42500000000000004,2000,1920,0.96,0.6635416666666667,0.3364583333333333,0.6296875,3.385416666666674,0.5817708333333333
E12b,seed42,0.45,2000,1942,0.971,0.664778578784758,0.335221421215242,0.6318228630278064,3.2955715756951554,0.586508753861998
E12b,seed42,0.47500000000000003,2000,1970,0.985,0.6634517766497462,0.3365482233502538,0.6289340101522842,3.4517766497461966,0.5923857868020305
E12b,seed42,0.5,2000,1973,0.9865,0.6634566649771921,0.33654333502280787,0.6289913836796757,3.446528129751647,0.5930055752660922
E12b,seed42,0.525,2000,1991,0.9955,0.6634856855851331,0.3365143144148669,0.629331993972878,3.415369161225512,0.5966850828729282
E12b,seed42,0.55,2000,1991,0.9955,0.6634856855851331,0.3365143144148669,0.629331993972878,3.415369161225512,0.5966850828729282
E12b,seed42,0.5750000000000001,2000,1998,0.999,0.6641641641641641,0.33583583583583587,0.6296296296296297,3.453453453453448,0.5980980980980981
E12b,seed42,0.6000000000000001,2000,1998,0.999,0.6641641641641641,0.33583583583583587,0.6296296296296297,3.453453453453448,0.5980980980980981
E12b,seed42,0.625,2000,2000,1.0,0.6635,0.3365,0.629,3.4499999999999975,0.5985
E12b,seed42,0.65,2000,2000,1.0,0.6635,0.3365,0.629,3.4499999999999975,0.5985
E12b,seed42,0.675,2000,2000,1.0,0.6635,0.3365,0.629,3.4499999999999975,0.5985
E12b,seed42,0.7000000000000001,2000,2000,1.0,0.6635,0.3365,0.629,3.4499999999999975,0.5985
E12b,seed42,0.7250000000000001,2000,2000,1.0,0.6635,0.3365,0.629,3.4499999999999975,0.5985
E12b,seed42,0.75,2000,2000,1.0,0.6635,0.3365,0.629,3.4499999999999975,0.5985
